drzava;ime_priimek;pozicija;rojstni_datum;leto
ITA;Aristide Guarneri;BRANILEC;7031938;1968
ITA;Antonio Juliano;VEZNI IGRALEC;1011943;1968
ITA;Giovanni Lodetti;VEZNI IGRALEC;10081942;1968
ITA;Piero Prati;NAPADALEC;13121946;1968
URS;Viktor Anichkin;BRANILEC;8121941;1968
URS;Valeri Voronin;VEZNI IGRALEC;17071939;1968
URS;Anzor Kavazashvili;VRATAR;19071940;1968
URS;Volodymyr Muntyan;VEZNI IGRALEC;14091946;1968
GEO;Givi Nodia;NEZNANO;2011948;1968
URS;Evgeni Rudakov;VRATAR;2011942;1968
URS;Volodymyr Levchenko;BRANILEC;18021944;1968
GEO;Murtaz Khurtsilava;BRANILEC;5011943;1968
URS;Igor Chislenko;NAPADALEC;4011939;1968
URS;Kakhi Asatiani;VEZNI IGRALEC;1011947;1968
URS;Nikolai Smolnikov;NAPADALEC;10031949;1968
URS;Yuri Pshenichnikov;VRATAR;2061940;1968
URS;Valentin Afonin;BRANILEC;22121939;1968
URS;Anatoli Banishevski;NAPADALEC;23021946;1968
URS;Anatoli Byshovets;NAPADALEC;23041946;1968
URS;Gennadi Evryuzhikhin;NAPADALEC;4021944;1968
NEZNANO;Yuri Istomin;NEZNANO;3071944;1968
URS;Volodymyr Kaplychniy;BRANILEC;26021944;1968
URS;Eduard Malofeev;NEZNANO;2061942;1968
URS;Albert Shesternev;BRANILEC;20061941;1968
URS;Aleksandr Lenev;VEZNI IGRALEC;25091944;1968
NEZNANO;Gennadi Logofet;NEZNANO;15041942;1968
ENG;Keith Newton;BRANILEC;23061941;1968
ENG;Alan Mullery;VEZNI IGRALEC;23111941;1968
ENG;Alan Ball;VEZNI IGRALEC;12051945;1968
ENG;Alexander Stepney;VRATAR;18091942;1968
ENG;Gordon West;VRATAR;24041943;1968
ENG;Cyril Knowles;BRANILEC;13071944;1968
ENG;Jack Charlton;NEZNANO;8051935;1968
ENG;Mike Summerbee;VEZNI IGRALEC;15121942;1968
ENG;Colin Bell;NEZNANO;5081961;1968
ENG;Jimmy Greaves;NAPADALEC;20021940;1968
ENG;Peter Thompson;VEZNI IGRALEC;27111942;1968
ENG;Gordon Banks;VRATAR;30121937;1968
ENG;Ramon Wilson;BRANILEC;17121934;1968
ENG;Brian Labone;BRANILEC;23011940;1968
ENG;Bobby Moore;BRANILEC;12041941;1968
ENG;Roger Hunt;VEZNI IGRALEC;20071938;1968
ENG;Bobby Charlton;VEZNI IGRALEC;11101937;1968
ENG;Geoff Hurst;NAPADALEC;8121941;1968
ENG;Martin Peters;VEZNI IGRALEC;8111943;1968
ENG;Tommy Wright;BRANILEC;21101944;1968
ENG;Nobby Stiles;VEZNI IGRALEC;18051942;1968
ENG;Norman Hunter;BRANILEC;29101943;1968
ENG;Geoff Hurst;NAPADALEC;8121941;1968
ENG;Alexander Stepney;VRATAR;18091942;1968
ENG;Gordon West;VRATAR;24041943;1968
ENG;Cyril Knowles;BRANILEC;13071944;1968
ENG;Jack Charlton;NEZNANO;8051935;1968
ENG;Tommy Wright;BRANILEC;21101944;1968
ENG;Nobby Stiles;VEZNI IGRALEC;18051942;1968
ENG;Mike Summerbee;VEZNI IGRALEC;15121942;1968
ENG;Colin Bell;NEZNANO;5081961;1968
ENG;Jimmy Greaves;NAPADALEC;20021940;1968
ENG;Peter Thompson;VEZNI IGRALEC;27111942;1968
ENG;Gordon Banks;VRATAR;30121937;1968
ENG;Keith Newton;BRANILEC;23061941;1968
ENG;Ramon Wilson;BRANILEC;17121934;1968
ENG;Alan Mullery;VEZNI IGRALEC;23111941;1968
ENG;Brian Labone;BRANILEC;23011940;1968
ENG;Bobby Moore;BRANILEC;12041941;1968
ENG;Alan Ball;VEZNI IGRALEC;12051945;1968
ENG;Roger Hunt;VEZNI IGRALEC;20071938;1968
ENG;Bobby Charlton;VEZNI IGRALEC;11101937;1968
ENG;Martin Peters;VEZNI IGRALEC;8111943;1968
ENG;Norman Hunter;BRANILEC;29101943;1968
SRB;Borivoje Djordjević;VEZNI IGRALEC;2081948;1968
SRB;Rudolf Belin;NEZNANO;4111942;1968
SRB;Radomir Vukčević;NEZNANO;15091941;1968
SRB;Ratomir Dujković;NEZNANO;24021946;1968
SRB;Rajko Aleksić;NEZNANO;19021947;1968
SRB;Jovan Aćimović;NEZNANO;21061948;1968
SRB;Mladen Ramljak;NEZNANO;1071945;1968
SRB;Ljubomir Mihajlović;NEZNANO;4091942;1968
SRB;Ivan Brzić;NEZNANO;28051941;1968
SRB;Boško Antić;NEZNANO;7011944;1968
SRB;Idriz Hošić;NEZNANO;17021944;1968
SRB;Ilija Pantelić;NEZNANO;2081942;1968
SRB;Mirsad Fazlagić;BRANILEC;4041943;1968
SRB;Milan Damjanović;NEZNANO;15101943;1968
SRB;Blagoje Paunović;NEZNANO;4061947;1968
SRB;Dragan Holcer;NEZNANO;19011945;1968
SRB;Ilija Petković;NEZNANO;22091945;1968
SRB;Ivica Osim;VEZNI IGRALEC;6051941;1968
SRB;Vahidin Musemić;NEZNANO;29101946;1968
SRB;Dragan Džajić;VEZNI IGRALEC;30051946;1968
SRB;Miroslav Pavlović;NEZNANO;23101942;1968
SRB;Dobrivoje Trivić;NEZNANO;26101943;1968
URS;Viktor Anichkin;BRANILEC;8121941;1968
URS;Valeri Voronin;VEZNI IGRALEC;17071939;1968
URS;Anzor Kavazashvili;VRATAR;19071940;1968
URS;Volodymyr Muntyan;VEZNI IGRALEC;14091946;1968
GEO;Givi Nodia;NEZNANO;2011948;1968
URS;Evgeni Rudakov;VRATAR;2011942;1968
URS;Volodymyr Levchenko;BRANILEC;18021944;1968
GEO;Murtaz Khurtsilava;BRANILEC;5011943;1968
URS;Igor Chislenko;NAPADALEC;4011939;1968
URS;Kakhi Asatiani;VEZNI IGRALEC;1011947;1968
URS;Nikolai Smolnikov;NAPADALEC;10031949;1968
URS;Yuri Pshenichnikov;VRATAR;2061940;1968
URS;Valentin Afonin;BRANILEC;22121939;1968
URS;Anatoli Banishevski;NAPADALEC;23021946;1968
URS;Anatoli Byshovets;NAPADALEC;23041946;1968
URS;Gennadi Evryuzhikhin;NAPADALEC;4021944;1968
NEZNANO;Yuri Istomin;NEZNANO;3071944;1968
URS;Volodymyr Kaplychniy;BRANILEC;26021944;1968
URS;Eduard Malofeev;NEZNANO;2061942;1968
URS;Albert Shesternev;BRANILEC;20061941;1968
URS;Aleksandr Lenev;VEZNI IGRALEC;25091944;1968
NEZNANO;Gennadi Logofet;NEZNANO;15041942;1968
ITA;Enrico Albertosi;VRATAR;2111939;1968
ITA;Pietro Anastasi;NAPADALEC;7041948;1968
ITA;Angelo Anquilletti;BRANILEC;25041943;1968
ITA;Giacomo Bulgarelli;VEZNI IGRALEC;24101940;1968
ITA;Picchio;VEZNI IGRALEC;13031943;1968
ITA;Aristide Guarneri;BRANILEC;7031938;1968
ITA;Giovanni Lodetti;VEZNI IGRALEC;10081942;1968
ITA;Luigi Riva;NAPADALEC;7111944;1968
ITA;Roberto Rosato;BRANILEC;18081943;1968
ITA;Alessandro Salvadore;BRANILEC;29111939;1968
ITA;Lido Vieri;VRATAR;16071939;1968
ITA;Dino Zoff;VRATAR;28021942;1968
ITA;Giancarlo Bercellino;BRANILEC;9101941;1968
ITA;Tarcisio Burgnich;BRANILEC;25041939;1968
ITA;Ernesto Castano;BRANILEC;2051939;1968
ITA;Angelo Domenghini;VEZNI IGRALEC;25081941;1968
ITA;Giacinto Facchetti;BRANILEC;18071942;1968
ITA;Giorgio Ferrini;VEZNI IGRALEC;18081939;1968
ITA;Antonio Juliano;VEZNI IGRALEC;1011943;1968
ITA;Sandro Mazzola;VEZNI IGRALEC;8111942;1968
ITA;Piero Prati;NAPADALEC;13121946;1968
ITA;Gianni Rivera;VEZNI IGRALEC;18081943;1968
RUS;Oleg Dolmatov;NEZNANO;29111948;1972
URS;Eduard Kozynkevych;NAPADALEC;23051949;1972
URS;Vladimir Pilgui;VRATAR;26011948;1972
URS;Viktor Matviyenko;BRANILEC;9111948;1972
URS;Volodymyr Muntyan;VEZNI IGRALEC;14091946;1972
URS;Evgeni Rudakov;VRATAR;2011942;1972
URS;Revaz Dzodzuashvili;BRANILEC;15041945;1972
GEO;Murtaz Khurtsilava;BRANILEC;5011943;1972
URS;Volodymyr Kaplychniy;BRANILEC;26021944;1972
NEZNANO;Yuri Istomin;NEZNANO;3071944;1972
UKR;Anatoliy Konkov;VEZNI IGRALEC;19091949;1972
URS;Volodymyr Troshkin;BRANILEC;28091947;1972
URS;Viktor Kolotov;VEZNI IGRALEC;3071949;1972
BLR;Anatoli Baidachny;NEZNANO;1101952;1972
URS;Anatoli Banishevski;NAPADALEC;23021946;1972
URS;Volodymyr Onyshchenko;NAPADALEC;28101949;1972
GER;Wolfgang Kleff;VRATAR;16111946;1972
GER;Rainer Bonhof;VEZNI IGRALEC;29031952;1972
GER;Michael Bella;BRANILEC;29091945;1972
GER;Jürgen Grabowski;NAPADALEC;7071944;1972
GER;Johannes Löhr;NEZNANO;5071942;1972
GER;Sepp Maier;VRATAR;28021944;1972
GER;Horst-Dieter Höttges;BRANILEC;10091943;1972
GER;Paul Breitner;BRANILEC;5091951;1972
GER;Hans-Georg Schwarzenbeck;BRANILEC;3041948;1972
GER;Franz Beckenbauer;BRANILEC;11091945;1972
GER;Herbert Wimmer;VEZNI IGRALEC;9111944;1972
GER;Jupp Heynckes;NAPADALEC;9051945;1972
GER;Uli Hoeness;VEZNI IGRALEC;5011952;1972
GER;Gerd Müller;NAPADALEC;3111945;1972
GER;Günter Netzer;VEZNI IGRALEC;14091944;1972
GER;Erwin Kremers;NEZNANO;24031949;1972
BEL;Luc Sanders;VRATAR;6101945;1972
BEL;Gilbert Van Binst;BRANILEC;5071951;1972
BEL;Maurice Martens;BRANILEC;5061947;1972
BEL;Jacques Teugels;NAPADALEC;3081946;1972
BEL;Frans Janssens;NAPADALEC;25091945;1972
BEL;Christian Piot;VRATAR;4101947;1972
BEL;Georges Heylens;BRANILEC;8081941;1972
BEL;Léon Dolmans;BRANILEC;6041945;1972
BEL;Jean Thissen;BRANILEC;21041946;1972
BEL;Erwin Vandendaele;BRANILEC;5031945;1972
BEL;Jean Dockx;BRANILEC;24051941;1972
BEL;Léon Semmeling;NAPADALEC;4011940;1972
BEL;Odilon Polleunis;NAPADALEC;1051943;1972
BEL;Raoul Lambert;NAPADALEC;20101944;1972
BEL;Paul Van Himst;NAPADALEC;2101943;1972
BEL;Jan Verheyen;VEZNI IGRALEC;9071944;1972
HUN;Imre Rapp;VRATAR;15091937;1972
HUN;József Kovács;BRANILEC;20061949;1972
HUN;Lajos Szűcs;VEZNI IGRALEC;10121943;1972
HUN;Lajos Kocsis;VEZNI IGRALEC;18061947;1972
HUN;István Szőke;VEZNI IGRALEC;13021947;1972
HUN;István Géczi;VRATAR;16031944;1972
HUN;Tibor Fábián;BRANILEC;26061946;1972
HUN;Miklós Páncsics;BRANILEC;4021944;1972
HUN;Péter Juhász;BRANILEC;3081948;1972
HUN;László Bálint;BRANILEC;1021948;1972
HUN;Lajos Kű;VEZNI IGRALEC;5071948;1972
HUN;Mihály Kozma;NAPADALEC;1111949;1972
HUN;Flórián Albert;NAPADALEC;15091941;1972
HUN;Antal Dunai;NAPADALEC;21031943;1972
HUN;István Juhasz;VEZNI IGRALEC;17071945;1972
HUN;Sándor Zámbó;NAPADALEC;10101944;1972
GER;Jürgen Grabowski;NAPADALEC;7071944;1972
GER;Berti Vogts;NEZNANO;30121946;1972
GER;Rainer Bonhof;VEZNI IGRALEC;29031952;1972
GER;Johannes Löhr;NEZNANO;5071942;1972
GER;Wolfgang Kleff;VRATAR;16111946;1972
GER;Sepp Maier;VRATAR;28021944;1972
GER;Horst-Dieter Höttges;BRANILEC;10091943;1972
GER;Paul Breitner;BRANILEC;5091951;1972
GER;Hans-Georg Schwarzenbeck;BRANILEC;3041948;1972
GER;Franz Beckenbauer;BRANILEC;11091945;1972
GER;Herbert Wimmer;VEZNI IGRALEC;9111944;1972
GER;Uli Hoeness;VEZNI IGRALEC;5011952;1972
GER;Jupp Heynckes;NAPADALEC;9051945;1972
GER;Günter Netzer;VEZNI IGRALEC;14091944;1972
GER;Erwin Kremers;NEZNANO;24031949;1972
GER;Gerd Müller;NAPADALEC;3111945;1972
BEL;Luc Sanders;VRATAR;6101945;1972
BEL;Gilbert Van Binst;BRANILEC;5071951;1972
BEL;Odilon Polleunis;NAPADALEC;1051943;1972
BEL;Jacques Teugels;NAPADALEC;3081946;1972
BEL;Johny Thio;NAPADALEC;2091944;1972
