datum;domaca_ekipa;gostujoca_ekipa;domaci_goli;gostujoci_goli;del_prvenstva;dodatek;stadion;mesto;stevilo_gledalcev;leto
19 junij 2000 (2000-06-19);Turčija ; Belgija;2;0;Skupina B;;King Baudouin Stadium; Bruselj;48000;2000
19 junij 2000 (2000-06-19);Italija ; Švedska;2;1;Skupina B;;Philips Stadionn; Eindhoven;30000;2000
13 junij 2000 (2000-06-13);Španija ; Norveška;0;1;Skupina C;;Feijenoord Stadionn; Rotterdam;41000;2000
13 junij 2000 (2000-06-13);FR Jugoslavija ; Slovenija;3;3;Skupina C;;Stade du Pays de Charleroi; Charleroi;18500;2000
18 junij 2000 (2000-06-18);Slovenija ; Španija;1;2;Skupina C;;Amsterdam Arena; Amsterdam;51300;2000
18 junij 2000 (2000-06-18);Norveška ; FR Jugoslavija;0;1;Skupina C;;Stade Maurice Dufrasne; Liège;28750;2000
21 junij 2000 (2000-06-21);FR Jugoslavija ; Španija;3;4;Skupina C;;Jan Breydel Stadium; Bruges;26611;2000
21 junij 2000 (2000-06-21);Slovenija ; Norveška;0;0;Skupina C;;GelreDome; Arnhem;21000;2000
11 junij 2000 (2000-06-11);Francija ; Danska;3;0;Skupina D;;Jan Breydel Stadium; Bruges;28100;2000
11 junij 2000 (2000-06-11);Nizozemska ; Češka;1;0;Skupina D;;Amsterdam Arena; Amsterdam;50800;2000
16 junij 2000 (2000-06-16);Češka ; Francija;1;2;Skupina D;;Jan Breydel Stadium; Bruges;27243;2000
16 junij 2000 (2000-06-16);Danska ; Nizozemska;0;3;Skupina D;;Feijenoord Stadionn; Rotterdam;51425;2000
21 junij 2000 (2000-06-21);Danska ; Češka;0;2;Skupina D;;Stade Maurice Dufrasne; Liège;20000;2000
21 junij 2000 (2000-06-21);Francija ; Nizozemska;2;3;Skupina D;;Amsterdam Arena; Amsterdam;50000;2000
24 junij 2000 (2000-06-24);Turčija ; Portugalska;0;2;Četrtfinale;;Amsterdam Arena; Amsterdam;42000;2000
24 junij 2000 (2000-06-24);Italija ; Romunija;2;0;Četrtfinale;;King Baudouin Stadium; Bruselj;41000;2000
25 junij 2000 (2000-06-25);Nizozemska ; FR Jugoslavija;6;1;Četrtfinale;;Feijenoord Stadionn; Rotterdam;44000;2000
25 junij 2000 (2000-06-25);Španija ; Francija;1;2;Četrtfinale;;Jan Breydel Stadium; Bruges;26614;2000
28 junij 2000 (2000-06-28);Francija ; Portugalska;2;1;Polfinale;Francija zmaga po podaljšku;King Baudouin Stadium; Bruselj;48000;2000
